0xA5	0x00E2	#(acircumflex)LATIN SMALL LETTER A WITH CIRCUMFLEX
0xA6	0x1EA7	#LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
0xA7	0x1EA5	#LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
0xA8	0x1EAB	#LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
0xA9	0x1EA9	#LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0xAA	0x1EAD	#LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0xAB	0x0103	#(abreve)LATIN SMALL LETTER A WITH BREVE
0xAC	0x1EB1	#LATIN SMALL LETTER A WITH BREVE AND GRAVE
0xAD	0x1EAF	#LATIN SMALL LETTER A WITH BREVE AND ACUTE
0xAE	0x1EB5	#LATIN SMALL LETTER A WITH BREVE AND TILDE
0xAF	0x1EB3	#LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
0xB0	0x1EB7	#LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
0xB1	0x00E8	#(egrave)LATIN SMALL LETTER E WITH GRAVE
0xB2	0x00E9	#(eacute)LATIN SMALL LETTER E WITH ACUTE
0xB3	0x1EBD	#LATIN SMALL LETTER E WITH TILDE
0xB4	0x1EBB	#LATIN SMALL LETTER E WITH HOOK ABOVE
0xB5	0x1EB9	#LATIN SMALL LETTER E WITH DOT BELOW
0xB6	0x00EA	#(ecircumflex)LATIN SMALL LETTER E WITH CIRCUMFLEX
0xB7	0x1EC1	#LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
0xB8	0x1EBF	#LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
0xB9	0x1EC5	#LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
0xBA	0x1EC3	#LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
0xBB	0x1EC7	#LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0xBC	0x00EC	#(igrave)LATIN SMALL LETTER I WITH GRAVE
0xBD	0x00ED	#(iacute)LATIN SMALL LETTER I WITH ACUTE
0xBE	0x0129	#(itilde)LATIN SMALL LETTER I WITH TILDE
0xBF	0x1EC9	#LATIN SMALL LETTER I WITH HOOK ABOVE
0xC0	0x1ECA	#LATIN CAPITAL LETTER I WITH DOT BELOW
0xC1	0x00D2	#(Ograve)LATIN CAPITAL LETTER O WITH GRAVE
0xC2	0x00D3	#(Oacute)LATIN CAPITAL LETTER O WITH ACUTE
0xC3	0x00D5	#(Otilde)LATIN CAPITAL LETTER O WITH TILDE
0xC4	0x1ECE	#LATIN CAPITAL LETTER O WITH HOOK ABOVE
0xC5	0x1ECC	#LATIN CAPITAL LETTER O WITH DOT BELOW
0xC6	0x00D4	#(Ocircumflex)LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xC7	0x1ED2	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
0xC8	0x1ED0	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
0xC9	0x1ED6	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
0xCA	0x1ED4	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
0xCB	0x1ED8	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0xCC	0x01A0	#(Ohorn)LATIN CAPITAL LETTER O WITH HORN
0xCD	0x1EDC	#LATIN CAPITAL LETTER O WITH HORN AND GRAVE
0xCE	0x1EDA	#LATIN CAPITAL LETTER O WITH HORN AND ACUTE
0xCF	0x1EE0	#LATIN CAPITAL LETTER O WITH HORN AND TILDE
0xD0	0x1EDE	#LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
0xD1	0x1EE2	#LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
0xD2	0x00D9	#(Ugrave)LATIN CAPITAL LETTER U WITH GRAVE
0xD3	0x00DA	#(Uacute)LATIN CAPITAL LETTER U WITH ACUTE
0xD4	0x0168	#(Utilde)LATIN CAPITAL LETTER U WITH TILDE
0xD5	0x1EE6	#LATIN CAPITAL LETTER U WITH HOOK ABOVE
0xD6	0x1EE4	#LATIN CAPITAL LETTER U WITH DOT BELOW
0xD7	0x01AF	#(Uhorn)LATIN CAPITAL LETTER U WITH HORN
0xD8	0x1EEA	#LATIN CAPITAL LETTER U WITH HORN AND GRAVE
0xD9	0x1EE8	#LATIN CAPITAL LETTER U WITH HORN AND ACUTE
0xDA	0x1EEE	#LATIN CAPITAL LETTER U WITH HORN AND TILDE
0xDB	0x1EEC	#LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
0xDC	0x1EF0	#LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
0xDD	0x1EF2	#(Ygrave)LATIN CAPITAL LETTER Y WITH GRAVE
0xDE	0x00DD	#(Yacute)LATIN CAPITAL LETTER Y WITH ACUTE
0xDF	0x1EF8	#LATIN CAPITAL LETTER Y WITH TILDE
0xE0	0x1ECB	#LATIN SMALL LETTER I WITH DOT BELOW
0xE1	0x00F2	#(ograve)LATIN SMALL LETTER O WITH GRAVE
0xE2	0x00F3	#(oacute)LATIN SMALL LETTER O WITH ACUTE
0xE3	0x00F5	#(otilde)LATIN SMALL LETTER O WITH TILDE
0xE4	0x1ECF	#LATIN SMALL LETTER O WITH HOOK ABOVE
0xE5	0x1ECD	#LATIN SMALL LETTER O WITH DOT BELOW
0xE6	0x00F4	#(ocircumflex)LATIN SMALL LETTER O WITH CIRCUMFLEX
0xE7	0x1ED3	#LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
0xE8	0x1ED1	#LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
0xE9	0x1ED7	#LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
0xEA	0x1ED5	#LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
0xEB	0x1ED9	#LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0xEC	0x01A1	#(ohorn)LATIN SMALL LETTER O WITH HORN
0xED	0x1EDD	#LATIN SMALL LETTER O WITH HORN AND GRAVE
0xEE	0x1EDB	#LATIN SMALL LETTER O WITH HORN AND ACUTE
0xEF	0x1EE1	#LATIN SMALL LETTER O WITH HORN AND TILDE
0xF0	0x1EDF	#LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
0xF1	0x1EE3	#LATIN SMALL LETTER O WITH HORN AND DOT BELOW
0xF2	0x00F9	#(ugrave)LATIN SMALL LETTER U WITH GRAVE
0xF3	0x00FA	#(uacute)LATIN SMALL LETTER U WITH ACUTE
0xF4	0x0169	#(utilde)LATIN SMALL LETTER U WITH TILDE
0xF5	0x1EE7	#LATIN SMALL LETTER U WITH HOOK ABOVE
0xF6	0x1EE5	#LATIN SMALL LETTER U WITH DOT BELOW
0xF7	0x01B0	#(uhorn)LATIN SMALL LETTER U WITH HORN
0xF8	0x1EEB	#LATIN SMALL LETTER U WITH HORN AND GRAVE
0xF9	0x1EE9	#LATIN SMALL LETTER U WITH HORN AND ACUTE
0xFA	0x1EEF	#LATIN SMALL LETTER U WITH HORN AND TILDE
0xFB	0x1EED	#LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
0xFC	0x1EF1	#LATIN SMALL LETTER U WITH HORN AND DOT BELOW
0xFD	0x1EF3	#(ygrave)LATIN SMALL LETTER Y WITH GRAVE
0xFE	0x00FD	#(yacute)LATIN SMALL LETTER Y WITH ACUTE
0xFF	0x1EF9	#LATIN SMALL LETTER Y WITH TILDE
